id,name,age,admission,major_id
83,강영유,26,2019,11
84,정나현,21,2024,10
85,노나우,23,2022,14
86,이어경,20,2025,8
87,함정경,21,2024,14
88,정수윤,25,2020,8
89,김준규,23,2022,5
90,최지희,22,2023,13
91,조상운,25,2020,11
92,손지지,25,2020,10
93,강대우,26,2019,14
94,김혜연,26,2019,8
95,이현성,24,2021,9
96,김다형,24,2021,15
97,김성민,20,2025,15
98,최고전,20,2025,13
99,박찬범,22,2023,8
100,김민현,24,2021,6
101,박세준,26,2019,2
102,고서원,26,2019,5
103,안동민,20,2025,1
104,김지재,22,2023,5
105,최성천,24,2021,4
106,서서희,22,2023,10
107,강승수,26,2019,6
108,김민윤,20,2025,6
109,박영희,22,2023,8
110,허서은,20,2025,12
111,심긍균,26,2019,7
112,곽예나,22,2023,14
113,이재천,24,2021,5
114,최아민,23,2022,15
115,최성훈,24,2021,15
116,염윤은,25,2020,15
117,이승필,20,2025,13
118,임은은,25,2020,12
119,김윤빈,20,2025,13
120,강유진,20,2025,11
121,이재서,23,2022,14
122,정예연,21,2024,3
123,박봉호,26,2019,6
124,송서인,25,2020,6
125,이재훈,25,2020,6
126,한자혜,23,2022,5
127,박재운,24,2021,11
128,김수민,23,2022,10
129,이영문,25,2020,5
130,최지경,22,2023,12
131,우동형,25,2020,14
132,이연영,24,2021,12
133,정태우,24,2021,14
134,조다린,26,2019,12
135,이규균,25,2020,15
136,김다은,24,2021,7
137,박견연,24,2021,5
138,이희진,25,2020,15
139,이효호,23,2022,1
140,강효아,21,2024,9
141,이창원,20,2025,13
142,주유은,20,2025,13
143,이지벅,23,2022,13
144,연기래,25,2020,13
145,이견구,25,2020,8
146,조차저,25,2020,15
147,손성한,20,2025,14
148,윤민민,22,2023,8
149,성면연,21,2024,4
150,최혀민,23,2022,10
151,김성운,20,2025,7
152,김소빈,20,2025,14
153,김현주,21,2024,15
154,김주연,20,2025,3
155,어재혼,26,2019,13
156,최희리,26,2019,10
157,김재균,26,2019,15
158,이소운,24,2021,10
159,마성현,25,2020,12
160,이예경,20,2025,15
161,박문현,22,2023,14
162,김주원,22,2023,5
163,진긴숭,25,2020,7
164,박수진,20,2025,11
165,오영홍,20,2025,4
166,권다경,24,2021,13
167,서명운,20,2025,9
168,황은늘,20,2025,2
169,최차군,21,2024,12
170,이연주,21,2024,14
171,정종호,24,2021,15
172,이연은,22,2023,15
173,이재옹,21,2024,14
174,백예린,21,2024,14
175,곽준빈,24,2021,10
176,윤서은,26,2019,11
177,문산운,21,2024,6
178,이서윤,23,2022,1
179,김성천,21,2024,7
180,김지린,22,2023,11
181,김희타,22,2023,11
182,김민진,23,2022,10
183,김창영,21,2024,13
184,최민안,26,2019,6
185,신재자,24,2021,3
186,김예연,25,2020,11
187,정유완,25,2020,10
188,이현연,26,2019,13
189,최현민,23,2022,15
190,최채원,20,2025,15
191,박승신,24,2021,3
192,송태원,25,2020,10
193,조종진,23,2022,13
194,최미시,22,2023,8
195,박벙흔,25,2020,5
196,박슨은,20,2025,2
197,박현우,26,2019,4
198,백서현,21,2024,12
199,임남표,26,2019,11
200,박지진,24,2021,8
201,이민지,24,2021,14
202,박예은,21,2024,11
203,최민호,22,2023,13
204,김시연,25,2020,15
205,배예우,22,2023,15
206,고여빈,20,2025,1
207,신민규,20,2025,10
208,김도인,22,2023,10
209,곽건운,26,2019,15
210,강서은,22,2023,15
211,남성운,25,2020,7
212,김최연,22,2023,15
213,나제현,24,2021,14
214,연서린,23,2022,9
215,최간긴,26,2019,8
216,이다은,25,2020,8
217,임민우,25,2020,12
218,박유윤,22,2023,1
219,김기현,24,2021,8
220,박보현,22,2023,6
221,류승우,24,2021,15
222,심지수,26,2019,5
223,홍조운,21,2024,8
224,이채라,26,2019,2
225,김규벅,21,2024,13
226,박유빈,23,2022,10
227,정경몬,23,2022,15
228,윤규윤,20,2025,10
229,이상민,23,2022,15
230,문현희,22,2023,15
231,김재환,22,2023,9
232,김유서,21,2024,11
233,장응헌,26,2019,2
234,문은은,26,2019,14
235,이태현,26,2019,5
236,이예다,21,2024,14
237,황호준,25,2020,3
238,이유서,26,2019,6
239,손창준,20,2025,10
240,명예진,24,2021,10
241,장상운,21,2024,5
242,양은원,26,2019,8
243,김훈민,20,2025,1
244,박은주,22,2023,8
245,이병현,24,2021,11
246,김하원,20,2025,14
247,정주번,20,2025,1
248,이세서,23,2022,5
249,정은희,23,2022,14
250,윤보윤,22,2023,15
251,박주롱,25,2020,5
252,최유하,26,2019,9
253,김조근,24,2021,12
254,김민안,22,2023,14
255,박준환,21,2024,4
256,최은현,24,2021,13
257,김원횽,25,2020,11
258,최세연,22,2023,14
259,양항주,21,2024,15
260,김지혜,25,2020,6
261,손지현,24,2021,13
262,김지린,21,2024,9
263,김창인,25,2020,3
264,서서연,22,2023,14
265,배수석,24,2021,11
266,김현영,24,2021,15
267,김긴문,20,2025,7
268,김유정,22,2023,13
269,최재완,20,2025,8
270,심서윤,21,2024,1
271,이규혁,26,2019,8
272,이희연,21,2024,1
273,이주후,23,2022,2
274,김서하,21,2024,7
275,하현성,26,2019,12
276,김소원,24,2021,7
277,홍상현,22,2023,9
278,박혜저,23,2022,6
279,이형승,21,2024,12
280,강희은,21,2024,6
281,박창상,24,2021,10
282,전희인,26,2019,1
283,신효재,26,2019,6
284,권시원,24,2021,10
285,김상진,20,2025,13
286,윤새현,25,2020,12
287,김경환,23,2022,11
288,최재안,24,2021,13
289,유승석,26,2019,9
290,고지연,22,2023,9
291,정민환,21,2024,12
292,우도연,23,2022,1
293,박영훈,21,2024,7
294,정지현,20,2025,14
295,권유훈,25,2020,10
296,손자현,24,2021,9
297,김진운,20,2025,12
298,김미경,25,2020,1
299,홍희훈,20,2025,5
300,고하은,22,2023,10
301,이민연,26,2019,6
302,박수현,23,2022,3
303,박면원,24,2021,15
304,이주연,21,2024,5
305,박종현,25,2020,9
306,김가연,25,2020,12
307,정주유,25,2020,14
308,정민희,24,2021,11
309,김연혁,23,2022,15
310,이주연,20,2025,12
311,강동형,23,2022,10
312,최유은,23,2022,15
313,최형윤,21,2024,13
314,최수린,21,2024,12
315,안준원,24,2021,15
316,지다은,22,2023,6
317,임현한,21,2024,8
318,김서은,26,2019,15
319,박태준,20,2025,9
320,송수저,25,2020,14
321,신윤환,25,2020,1
322,임연현,22,2023,13
323,황종주,23,2022,9
324,안지희,20,2025,12
325,김봉환,21,2024,10
326,한가윤,20,2025,13
327,조진환,26,2019,6
328,김하은,22,2023,10
329,조호원,25,2020,6
330,백세진,21,2024,13
331,권성성,25,2020,11
332,오미견,25,2020,1
333,최긴진,25,2020,14
334,차예현,24,2021,15
335,이성민,23,2022,2
336,박수진,23,2022,1
337,김성원,21,2024,15
338,윤민경,24,2021,8
339,이희유,21,2024,12
340,최시현,23,2022,10
341,김상헉,25,2020,12
342,노다현,22,2023,13
343,엄상민,22,2023,13
344,김세서,25,2020,7
345,장찬원,21,2024,14
346,장혜미,26,2019,14
347,최민수,26,2019,9
348,서유영,20,2025,4
349,배겅근,23,2022,10
350,김지애,20,2025,9
351,이성근,26,2019,12
352,손유경,22,2023,12
353,한동번,21,2024,15
354,김서희,21,2024,8
355,김태준,25,2020,15
356,전서은,24,2021,13
357,박태선,24,2021,8
358,박주서,26,2019,15
359,강영긴,26,2019,11
360,김유연,20,2025,5
361,김진우,21,2024,6
362,박유원,21,2024,7
363,주의민,25,2020,4
364,김예빈,21,2024,11
365,이준현,26,2019,14
366,김시라,21,2024,1
367,박종환,20,2025,6
368,정수진,20,2025,12
369,배진원,21,2024,6
370,유연주,25,2020,13
371,이항진,22,2023,14
372,김수연,25,2020,9
373,이현재,21,2024,1
374,전세화,21,2024,9
375,지견환,24,2021,15
376,이아지,26,2019,9
377,이재용,24,2021,11
378,김혜현,26,2019,13
379,곽내운,21,2024,12
380,문민민,25,2020,9
381,정주현,20,2025,14
382,홍지우,22,2023,10
383,조필규,24,2021,5
384,김미채,20,2025,13
385,박주준,22,2023,7
386,이지현,22,2023,8
387,김재호,24,2021,11
388,조다현,20,2025,8
389,김승용,22,2023,2
390,정가경,23,2022,1
391,이진윤,25,2020,13
392,이희진,25,2020,7
393,최인훙,24,2021,9
394,신서민,22,2023,15
395,이상인,21,2024,9
396,이저재,21,2024,14
397,김응우,25,2020,13
398,강미영,25,2020,11
399,강균완,23,2022,11
400,배주현,23,2022,8
401,안성현,26,2019,1
402,박혜진,22,2023,11
403,옥상전,22,2023,3
404,최호서,23,2022,13
405,박진호,25,2020,10
406,김예민,20,2025,7
407,윤재우,26,2019,11
408,주수예,26,2019,10
409,박주천,20,2025,6
410,김보현,22,2023,7
411,박민석,20,2025,9
412,서세진,23,2022,5
413,김태준,26,2019,15
414,정은빈,25,2020,11
415,이성엽,22,2023,1
416,박다연,20,2025,13
417,김승현,25,2020,10
418,이미은,26,2019,3
419,윤인문,23,2022,7
420,오주현,20,2025,13
421,이형석,24,2021,14
422,배주빈,26,2019,12
423,박우석,21,2024,6
424,정소빈,25,2020,10
425,전창환,26,2019,14
426,강지연,22,2023,3
427,정병승,20,2025,15
428,강지리,22,2023,15
429,양경성,26,2019,12
430,변유지,21,2024,9
431,김긍욱,20,2025,6
432,윤채현,24,2021,13
433,김종현,20,2025,6
434,문예저,24,2021,10
435,이형지,26,2019,7
436,최희연,21,2024,3
437,우준산,26,2019,5
438,이도희,24,2021,7
439,채세운,24,2021,10
440,김최윤,25,2020,15
441,김도민,22,2023,6
442,전재진,23,2022,8
443,석민신,20,2025,4
444,김세현,20,2025,15
445,황강준,23,2022,13
446,조승호,25,2020,11
447,변병준,26,2019,10
448,윤지연,23,2022,14
449,강진석,26,2019,7
450,조희하,22,2023,7
451,이재유,26,2019,7
452,이다연,24,2021,6
453,최승안,22,2023,15
454,이가나,25,2020,15
455,오종락,24,2021,6
456,금수현,22,2023,14
457,이민환,20,2025,9
458,민희민,25,2020,14
459,이영찬,23,2022,9
460,박하라,25,2020,5
461,박동서,26,2019,8
462,김하진,25,2020,10
463,김병석,23,2022,14
464,유하수,22,2023,15
465,안성석,26,2019,11
466,정하진,26,2019,12
467,김기하,25,2020,8
468,고현경,21,2024,15
469,심존재,20,2025,9
470,조슨연,23,2022,7
471,박세현,21,2024,10
472,장유인,21,2024,12
473,원성훈,23,2022,2
474,양주재,24,2021,5
475,한운민,24,2021,9
476,신혜연,22,2023,15
477,신호주,23,2022,15
478,정서진,23,2022,12
479,김주헝,26,2019,12
480,손연서,23,2022,9
481,이정연,24,2021,9
482,김윤진,25,2020,5
483,김견평,21,2024,14
484,오혜현,22,2023,12
485,이호희,21,2024,5
486,김태연,22,2023,2
487,박진견,25,2020,11
488,배주연,22,2023,14
489,최승훈,25,2020,3
490,김서은,24,2021,13
491,김환운,23,2022,15
492,김우현,26,2019,14
493,박승재,26,2019,12
494,최지연,20,2025,14
495,김용현,20,2025,12
496,곽민윤,22,2023,12
497,최성환,24,2021,10
498,박주빈,20,2025,7
499,서운우,23,2022,8
500,이지연,26,2019,15
501,김긴현,23,2022,3
502,채다은,20,2025,13
503,송준형,20,2025,5
504,나미인,21,2024,11
505,원준진,24,2021,9
506,조지서,24,2021,12
507,정유인,24,2021,11
508,편서민,26,2019,13
509,양태진,25,2020,4
510,이윤빈,26,2019,12
511,김성민,25,2020,2
512,임채현,21,2024,4
513,최규규,21,2024,6
514,진윤은,24,2021,12
515,김승유,20,2025,12
516,윤유진,21,2024,5
517,유태굥,23,2022,15
518,정윤지,26,2019,5
519,남전연,24,2021,14
520,이희서,26,2019,13
521,이성굥,26,2019,1
522,김서주,20,2025,3
523,최준신,22,2023,8
524,최희영,21,2024,13
525,오군린,20,2025,10
526,정소현,23,2022,12
527,최횽유,24,2021,10
528,김주연,21,2024,5
529,김대성,20,2025,5
530,김예빈,22,2023,3
531,이윤한,20,2025,8
532,유소현,21,2024,7
533,신도운,22,2023,15
534,김시진,21,2024,13
535,김영형,25,2020,14
536,박유민,20,2025,15
537,고성견,23,2022,13
538,최세형,26,2019,12
539,김순영,20,2025,12
540,박시연,20,2025,12
541,오종규,24,2021,4
542,이세연,23,2022,1
543,최진훈,24,2021,14
544,김희희,25,2020,1
545,김민균,24,2021,14
546,이수연,25,2020,12
547,정성유,20,2025,12
548,우연현,23,2022,8
549,김긴현,24,2021,9
550,이다연,22,2023,6
551,김문민,22,2023,15
552,박지수,22,2023,9
553,심성운,21,2024,12
554,강이현,23,2022,10
555,김승석,26,2019,9
556,양소서,21,2024,15
557,임용한,25,2020,6
558,임하은,22,2023,4
559,김영근,22,2023,6
560,박지진,21,2024,7
561,이간호,23,2022,10
562,박유주,24,2021,12
563,김성천,23,2022,6
564,이지연,24,2021,13
565,박창혁,25,2020,11
566,장현현,22,2023,15
567,이유호,21,2024,10
568,유저은,24,2021,5
569,황서운,24,2021,12
570,김수리,26,2019,11
571,임상분,26,2019,6
572,이서현,20,2025,11
573,마경호,21,2024,15
574,임나연,26,2019,8
575,채찬석,20,2025,15
576,최유연,23,2022,5
577,강상진,22,2023,4
578,이채민,20,2025,9
579,김재재,20,2025,4
580,김서원,26,2019,7
581,임현근,21,2024,14
582,김윤빈,20,2025,15
583,조채재,25,2020,14
584,문지진,21,2024,8
585,김정순,21,2024,3
586,권서은,23,2022,10
587,정동혁,26,2019,13
588,우시빈,25,2020,10
589,변균준,24,2021,12
590,김지효,20,2025,10
591,박찬호,21,2024,11
592,장현저,20,2025,14
593,차세번,23,2022,5
594,지보린,23,2022,11
595,이동한,22,2023,9
596,김지은,24,2021,10
597,권도희,20,2025,15
598,유민린,24,2021,3
599,김지신,25,2020,15
600,손하진,20,2025,15
601,윤진수,21,2024,5
602,이서현,22,2023,12
603,박인석,26,2019,12
604,정지지,25,2020,9
605,송창호,20,2025,12
606,김다은,21,2024,15
607,김재영,24,2021,11
608,김소지,23,2022,14
609,김봉화,20,2025,14
610,정세운,22,2023,14
611,인준훈,26,2019,15
612,우슨안,22,2023,13
613,엄상준,25,2020,6
614,장예서,20,2025,5
615,오형청,22,2023,7
616,금서희,20,2025,5
617,이예조,22,2023,15
618,김하서,26,2019,5
619,송면준,23,2022,9
620,윤은윤,25,2020,12
621,양정원,25,2020,12
622,조소연,24,2021,12
623,최지민,21,2024,10
624,하수혜,21,2024,15
625,최호범,25,2020,12
626,이하원,20,2025,11
627,박문진,26,2019,13
628,이현진,25,2020,11
629,엄겅몬,25,2020,11
630,김지희,24,2021,5
631,전태훈,25,2020,15
632,이유은,20,2025,6
633,김영호,25,2020,14
634,최유진,26,2019,8
635,한윤설,25,2020,15
636,신아은,22,2023,8
637,양견긴,26,2019,6
638,김가원,26,2019,5
639,황재연,25,2020,11
640,심은린,23,2022,9
641,신항준,21,2024,13
642,유미희,24,2021,6
643,임조훈,20,2025,12
644,박지민,23,2022,8
645,지현수,22,2023,1
646,손민린,21,2024,11
647,조홍주,23,2022,7
648,문지원,26,2019,7
649,김인준,25,2020,7
650,김지원,26,2019,3
651,한연호,22,2023,12
652,김지원,22,2023,12
653,김재준,25,2020,13
654,박가은,24,2021,11
655,정성청,26,2019,7
656,정은연,22,2023,11
657,김의현,26,2019,9
658,김수나,24,2021,8
659,정춘현,20,2025,12
660,이승서,25,2020,8
661,김성소,24,2021,7
662,박민린,23,2022,8
663,김벙호,21,2024,5
664,김민라,23,2022,11
665,안재현,23,2022,15
666,김서연,24,2021,9
667,박민우,23,2022,11
668,정아혜,24,2021,14
669,김윤연,26,2019,11
670,성가은,21,2024,9
671,양창성,26,2019,11
672,이서빈,20,2025,1
673,정윤완,21,2024,5
674,최윤지,20,2025,5
675,윤종열,24,2021,12
676,최민민,23,2022,15
677,최겅천,21,2024,1
678,박민윤,21,2024,5
679,최정현,22,2023,9
680,지자서,24,2021,9
681,임병화,20,2025,9
682,이주진,22,2023,13
683,최효운,22,2023,15
684,정가시,23,2022,2
685,하면헌,21,2024,13
686,김지원,25,2020,3
687,김형현,21,2024,8
688,최지진,21,2024,15
689,이신숭,23,2022,1
690,이연나,23,2022,15
691,신민유,24,2021,7
692,황이연,21,2024,11
693,김상천,23,2022,3
694,박민혜,26,2019,15
695,신승원,22,2023,5
696,김수빈,24,2021,15
697,이민재,22,2023,15
698,박승윤,26,2019,4
699,이승운,21,2024,12
700,유슨린,22,2023,14
701,이운훈,26,2019,15
702,양주빈,20,2025,5
703,유동규,25,2020,8
704,김지은,22,2023,5
705,조현운,21,2024,13
706,최지연,20,2025,11
707,권횽역,24,2021,15
708,김혜연,22,2023,15
709,윤승준,21,2024,11
710,유서경,24,2021,12
711,이민진,25,2020,14
712,이재민,20,2025,14
713,이동련,24,2021,13
714,김의서,23,2022,12
715,오인규,25,2020,11
716,김서윤,21,2024,9
717,김대원,25,2020,12
718,이윤연,22,2023,5
719,박용우,20,2025,10
720,공호진,24,2021,4
721,고재숭,26,2019,13
722,김다원,23,2022,6
723,이민운,23,2022,9
724,홍유진,26,2019,3
725,윤숭원,24,2021,14
726,윤서지,24,2021,8
727,정응영,26,2019,7
728,오지윤,21,2024,13
729,전동석,20,2025,9
730,이시솔,22,2023,13
731,이성호,25,2020,15
732,김규아,23,2022,5
733,조경민,26,2019,15
734,김지하,25,2020,3
735,이민찬,21,2024,13
736,박민진,23,2022,1
737,김성보,20,2025,7
738,정주재,21,2024,13
739,임준혁,25,2020,4
740,김현진,23,2022,6
741,임민덕,25,2020,12
742,김슨선,22,2023,14
743,유진환,26,2019,9
744,고서서,26,2019,1
745,김승준,24,2021,12
746,윤민현,26,2019,10
747,노면석,21,2024,12
748,이서인,21,2024,6
749,김대현,24,2021,10
750,최민경,23,2022,6
751,송면석,20,2025,9
752,양유희,23,2022,6
753,권의조,20,2025,12
754,윤수진,23,2022,6
755,한성성,24,2021,14
756,이민현,26,2019,11
757,김성용,21,2024,5
758,유주긴,22,2023,15
759,남해운,24,2021,1
760,차소경,23,2022,14
761,유필현,24,2021,4
762,김효빈,26,2019,7
763,김인운,26,2019,3
764,신서현,22,2023,14
765,고문덩,26,2019,8
766,임연서,23,2022,13
767,진재우,21,2024,11
768,문해은,20,2025,7
769,조진민,21,2024,12
770,허승빈,22,2023,14
771,송경영,26,2019,9
772,김세윤,26,2019,10
773,이인운,21,2024,5
774,이지희,24,2021,11
775,박천엉,22,2023,15
776,홍혜원,24,2021,5
777,황승고,25,2020,13
778,정미빈,21,2024,12
779,이정영,24,2021,12
780,조태민,22,2023,10
781,이조준,24,2021,15
782,최현원,26,2019,1
783,정석주,26,2019,9
784,정연연,21,2024,9
785,이동언,24,2021,6
786,이슨경,25,2020,12
787,박윤문,25,2020,3
788,차민주,20,2025,13
789,임지석,26,2019,6
790,박현민,22,2023,15
791,이혜현,24,2021,6
792,김가린,22,2023,9
793,김성환,22,2023,11
794,황유민,22,2023,8
795,박광희,23,2022,11
796,추지주,26,2019,6
797,조주희,24,2021,9
798,이유서,26,2019,10
799,방우준,22,2023,10
800,유재효,22,2023,10
801,조항현,23,2022,9
802,이유연,21,2024,6
803,조우권,25,2020,3
804,유수연,22,2023,7
805,신용현,21,2024,12
806,박혜연,26,2019,8
807,김재영,22,2023,12
808,주하희,20,2025,15
809,손규원,23,2022,9
810,윤가주,26,2019,7
811,이정준,26,2019,1
812,손서경,24,2021,10
813,김동빈,20,2025,7
814,김유주,23,2022,9
815,김준순,20,2025,14
816,윤성한,24,2021,2
817,박진우,24,2021,9
818,최연희,22,2023,14
819,박주현,21,2024,10
820,강세나,20,2025,9
821,김환구,23,2022,5
822,임지진,20,2025,5
823,정요호,25,2020,5
824,안수연,21,2024,6
825,은상필,24,2021,9
826,전아주,22,2023,12
827,문윤현,20,2025,14
828,여소연,20,2025,7
829,정재호,20,2025,12
830,박예원,21,2024,3
831,문지준,26,2019,11
832,최유원,25,2020,5
833,함대규,23,2022,15
834,정사진,22,2023,1
835,박승표,22,2023,2
836,이은연,25,2020,13
837,백인상,23,2022,14
838,하유나,20,2025,14
839,이형수,23,2022,14
840,김채안,22,2023,14
841,김광후,24,2021,14
842,최주은,23,2022,13
843,배태민,24,2021,9
844,추수빈,24,2021,13
845,박찬현,21,2024,13
846,이유서,26,2019,8
847,이대영,21,2024,6
848,김민서,20,2025,12
849,손민후,22,2023,8
850,마나예,20,2025,8
851,최태헌,23,2022,5
852,이세윤,26,2019,9
853,한옹한,21,2024,4
854,허서현,21,2024,11
855,김성우,21,2024,8
856,김유진,23,2022,11
857,김필민,21,2024,11
858,김은은,25,2020,1
859,구이준,26,2019,11
860,박민은,24,2021,1
861,박진현,24,2021,9
862,박예민,21,2024,9
863,송태호,25,2020,9
864,이서은,21,2024,11
865,홍현기,23,2022,15
866,김다은,23,2022,9
867,노형운,20,2025,8
868,김지희,22,2023,15
869,변하호,25,2020,13
870,이현빈,20,2025,15
871,김수권,20,2025,10
872,신지주,23,2022,15
873,김영진,25,2020,15
874,고유지,25,2020,9
875,지관진,22,2023,4
876,전예린,22,2023,15
877,김조민,22,2023,11
878,김민연,24,2021,10
879,김재원,22,2023,6
880,정수연,21,2024,11
881,박현현,23,2022,6
882,권규현,26,2019,15
883,박주산,21,2024,14
884,송현서,20,2025,6
885,이주건,21,2024,15
886,양서진,22,2023,1
887,이가번,24,2021,9
888,김지원,20,2025,9
889,박강영,23,2022,12
890,임나준,22,2023,12
891,이권희,26,2019,11
892,박저린,25,2020,14
893,김동완,24,2021,5
894,홍유연,24,2021,9
895,조재형,21,2024,15
896,문유연,22,2023,10
897,권준진,26,2019,15
898,김세늘,23,2022,8
899,김겅현,21,2024,15
900,신서경,22,2023,12
901,남재연,21,2024,12
902,김현연,23,2022,14
903,강승환,20,2025,5
904,김소영,25,2020,8
905,박운우,26,2019,5
906,이지나,26,2019,3
907,엄민현,22,2023,10
908,함예연,26,2019,1
909,장이성,26,2019,10
910,조승지,25,2020,5
911,문정번,25,2020,10
912,황유현,22,2023,5
913,박면진,20,2025,13
914,구유화,22,2023,12
915,윤상연,25,2020,5
916,임현진,22,2023,14
917,한항성,24,2021,9
918,정태저,25,2020,4
919,홍겨번,25,2020,15
920,유보연,23,2022,15
921,송재운,20,2025,4
922,소현인,21,2024,9
923,고윤후,25,2020,13
924,현혜늘,20,2025,9
925,이횽현,25,2020,7
926,임미희,23,2022,11
927,채창훈,23,2022,6
928,이어연,23,2022,5
929,이상인,26,2019,8
930,김수은,24,2021,6
931,이현영,20,2025,15
932,류유린,25,2020,10
933,김홍푱,22,2023,3
934,이희주,23,2022,15
935,이령훈,24,2021,15
936,이나전,21,2024,14
937,엄성우,26,2019,7
938,강소경,26,2019,12
939,김운규,22,2023,13
940,김유연,20,2025,4
941,전진배,22,2023,15
942,김유빈,25,2020,12
943,김효재,20,2025,9
944,허미나,23,2022,4
945,김승현,23,2022,12
946,강수민,25,2020,14
947,정성견,25,2020,2
948,김지은,21,2024,11
949,김이찬,20,2025,10
950,이지형,22,2023,6
951,김재태,20,2025,9
952,이유지,20,2025,6
953,주동숙,26,2019,7
954,김유윤,24,2021,1
955,최견훈,25,2020,14
956,정채경,21,2024,6
957,박성민,24,2021,9
958,박서현,24,2021,9
959,김겅천,24,2021,13
960,장저경,23,2022,11
961,박준덩,23,2022,5
962,최수원,22,2023,8
963,홍제류,21,2024,1
964,이민연,20,2025,6
965,길문한,26,2019,9
966,고보인,20,2025,8
967,김운재,26,2019,13
968,김민영,23,2022,13
969,임진오,26,2019,6
970,신지영,23,2022,13
971,서기언,24,2021,14
972,명저현,21,2024,13
973,최균진,26,2019,11
974,권유주,25,2020,4
975,김세재,22,2023,11
976,임서연,23,2022,12
977,윤인수,22,2023,12
978,김저은,21,2024,14
979,배재성,20,2025,3
980,이서안,26,2019,14
981,홍지견,25,2020,13
982,문애원,24,2021,8
983,문현연,20,2025,5
984,최민진,22,2023,11
985,강원후,22,2023,14
986,김유현,21,2024,11
987,이동숙,23,2022,12
988,김가진,26,2019,14
989,김승균,26,2019,12
990,하민민,22,2023,13
991,이병현,24,2021,11
992,이소전,23,2022,14
993,최상찬,26,2019,14
994,장서서,21,2024,4
995,정주성,26,2019,7
996,이하진,26,2019,13
997,김재찬,24,2021,2
998,김예연,23,2022,11
999,성성현,25,2020,2
1000,김소안,22,2023,5
1001,오준재,23,2022,9
1002,홍저은,22,2023,12
1003,전연원,20,2025,15
1004,김지연,23,2022,6
1005,이현헌,25,2020,15
1006,장다윤,21,2024,9
1007,장상우,20,2025,7
1008,박예영,24,2021,14
1009,이찬인,22,2023,1
1010,김송재,20,2025,11
1011,김요린,20,2025,11
1012,김수연,26,2019,15
1013,방원진,25,2020,11
1014,한지영,22,2023,10
1015,장우유,23,2022,9
1016,홍도빈,26,2019,8
1017,장성수,26,2019,5
1018,홍소주,23,2022,7
1019,안정규,24,2021,13
1020,김연연,24,2021,12
1021,노진빈,23,2022,9
1022,김서연,22,2023,6
1023,엄정성,22,2023,14
1024,김도진,22,2023,8
1025,김동푱,21,2024,7
1026,여혀채,20,2025,5
1027,정준운,21,2024,15
1028,박소다,24,2021,13
1029,오동인,26,2019,14
1030,김도혜,20,2025,15
1031,강상재,26,2019,13
1032,설소서,21,2024,11
1033,이진원,25,2020,12
1034,박하빈,24,2021,15
1035,서유희,26,2019,15
1036,이서현,21,2024,8
1037,장응국,20,2025,14
1038,김아진,24,2021,14
1039,박신제,23,2022,12
1040,노희우,21,2024,11
1041,최재연,22,2023,10
1042,김세원,23,2022,14
1043,문현현,21,2024,7
1044,문하현,24,2021,3
1045,황주원,22,2023,6
1046,장소나,24,2021,12
1047,김찬균,20,2025,14
1048,이소서,23,2022,5
1049,노지헉,24,2021,12
1050,권채희,26,2019,10
